Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Abbeville, South Carolina",US,2020-07-31,285,7,0,"Abbeville, South Carolina",34.22333378,-82.46170658
"Acadia, Louisiana",US,2020-07-31,2299,71,0,"Acadia, Louisiana",30.295064899999996,-92.41419698
"Accomack, Virginia",US,2020-07-31,1074,15,0,"Accomack, Virginia",37.76707161,-75.63234615
"Ada, Idaho",US,2020-07-31,7681,55,0,"Ada, Idaho",43.4526575,-116.24155159999998
"Adair, Iowa",US,2020-07-31,20,0,0,"Adair, Iowa",41.33075609,-94.47105874
"Adair, Kentucky",US,2020-07-31,197,19,0,"Adair, Kentucky",37.10459774,-85.28129668
"Adair, Missouri",US,2020-07-31,130,0,0,"Adair, Missouri",40.19058551,-92.60078167
"Adair, Oklahoma",US,2020-07-31,274,5,0,"Adair, Oklahoma",35.88494195,-94.65859267
"Adams, Colorado",US,2020-07-31,5868,168,0,"Adams, Colorado",39.87432092,-104.3362578
"Adams, Idaho",US,2020-07-31,18,0,0,"Adams, Idaho",44.89333571,-116.4545247
"Adams, Illinois",US,2020-07-31,363,1,0,"Adams, Illinois",39.98815591,-91.18786813
"Adams, Indiana",US,2020-07-31,73,1,0,"Adams, Indiana",40.7457653,-84.93671406
"Adams, Iowa",US,2020-07-31,15,0,0,"Adams, Iowa",41.02903567,-94.69932645
"Adams, Mississippi",US,2020-07-31,552,23,0,"Adams, Mississippi",31.47669768,-91.35326037
"Adams, Nebraska",US,2020-07-31,336,11,0,"Adams, Nebraska",40.52449420000001,-98.50117804
"Adams, North Dakota",US,2020-07-31,2,0,0,"Adams, North Dakota",46.09686891,-102.5285397
"Adams, Ohio",US,2020-07-31,53,2,0,"Adams, Ohio",38.84541072,-83.4718964
"Adams, Pennsylvania",US,2020-07-31,461,19,0,"Adams, Pennsylvania",39.87140411,-77.21610347
"Adams, Washington",US,2020-07-31,374,3,0,"Adams, Washington",46.98299757,-118.5601734
"Adams, Wisconsin",US,2020-07-31,66,2,0,"Adams, Wisconsin",43.96974651,-89.76782777
"Addison, Vermont",US,2020-07-31,71,2,0,"Addison, Vermont",44.03217337,-73.14130877
"Adjuntas, Puerto Rico",US,2020-07-31,78,0,0,"Adjuntas, Puerto Rico",18.180117000000006,-66.754367
"Aguada, Puerto Rico",US,2020-07-31,97,0,0,"Aguada, Puerto Rico",18.360255,-67.17513100000001
"Aguadilla, Puerto Rico",US,2020-07-31,166,0,0,"Aguadilla, Puerto Rico",18.459681,-67.12081500000001
"Aguas Buenas, Puerto Rico",US,2020-07-31,102,0,0,"Aguas Buenas, Puerto Rico",18.251619,-66.126806
"Aibonito, Puerto Rico",US,2020-07-31,73,0,0,"Aibonito, Puerto Rico",18.131361,-66.264131
"Aiken, South Carolina",US,2020-07-31,1444,24,0,"Aiken, South Carolina",33.54338026,-81.63645384
"Aitkin, Minnesota",US,2020-07-31,25,0,0,"Aitkin, Minnesota",46.60962049,-93.4116826
"Alachua, Florida",US,2020-07-31,3448,20,0,"Alachua, Florida",29.67866525,-82.35928158
"Alamance, North Carolina",US,2020-07-31,2101,41,0,"Alamance, North Carolina",36.0434701,-79.39976137
"Alameda, California",US,2020-07-31,11131,182,0,"Alameda, California",37.64629437,-121.8929271
"Alamosa, Colorado",US,2020-07-31,222,8,0,"Alamosa, Colorado",37.57250606,-105.7885451
"Albany, New York",US,2020-07-31,2493,126,0,"Albany, New York",42.60060306,-73.97723916
"Albany, Wyoming",US,2020-07-31,83,0,0,"Albany, Wyoming",41.65498705,-105.7235415
"Albemarle, Virginia",US,2020-07-31,733,10,0,"Albemarle, Virginia",38.02080697,-78.55481085
"Alcona, Michigan",US,2020-07-31,28,1,0,"Alcona, Michigan",44.6846864,-83.59507875
"Alcorn, Mississippi",US,2020-07-31,331,3,0,"Alcorn, Mississippi",34.88084463,-88.57996173
"Aleutians East, Alaska",US,2020-07-31,1,0,0,"Aleutians East, Alaska",55.32222414,-161.9722021
"Aleutians West, Alaska",US,2020-07-31,4,0,0,"Aleutians West, Alaska",52.3233,-174.1596
"Alexander, Illinois",US,2020-07-31,35,0,0,"Alexander, Illinois",37.18049267,-89.32910838
"Alexander, North Carolina",US,2020-07-31,295,2,0,"Alexander, North Carolina",35.922379600000006,-81.17751948
"Alexandria, Virginia",US,2020-07-31,2779,57,0,"Alexandria, Virginia",38.814003,-77.08183073
"Alfalfa, Oklahoma",US,2020-07-31,4,0,0,"Alfalfa, Oklahoma",36.73090616,-98.32408495
"Alger, Michigan",US,2020-07-31,6,0,0,"Alger, Michigan",46.41292944,-86.60260122
"Allamakee, Iowa",US,2020-07-31,146,4,0,"Allamakee, Iowa",43.28383218,-91.37860922
